image_name,row,col,label
PR_20081006_233801_512_LC16,17,271,241
PR_20081006_233801_512_LC16,22,1215,241
PR_20081006_233801_512_LC16,30,715,241
PR_20081006_233801_512_LC16,54,1117,241
PR_20081006_233801_512_LC16,62,7,241
PR_20081006_233801_512_LC16,68,947,241
PR_20081006_233801_512_LC16,101,659,241
PR_20081006_233801_512_LC16,103,170,241
PR_20081006_233801_512_LC16,124,1168,241
PR_20081006_233801_512_LC16,140,1257,241
PR_20081006_233801_512_LC16,146,1200,241
PR_20081006_233801_512_LC16,168,209,241
PR_20081006_233801_512_LC16,261,1335,241
PR_20081006_233801_512_LC16,263,276,241
PR_20081006_233801_512_LC16,270,29,241
PR_20081006_233801_512_LC16,280,1112,241
PR_20081006_233801_512_LC16,291,641,241
PR_20081006_233801_512_LC16,295,1134,241
PR_20081006_233801_512_LC16,316,410,241
PR_20081006_233801_512_LC16,331,237,241
PR_20081006_233801_512_LC16,352,961,241
PR_20081006_233801_512_LC16,394,1329,241
PR_20081006_233801_512_LC16,424,77,241
PR_20081006_233801_512_LC16,471,1180,241
PR_20081006_233801_512_LC16,475,875,241
PR_20081006_233801_512_LC16,511,338,241
PR_20081006_233801_512_LC16,515,55,241
PR_20081006_233801_512_LC16,563,1306,241
PR_20081006_233801_512_LC16,601,224,241
PR_20081006_233801_512_LC16,606,1174,241
PR_20081006_233801_512_LC16,636,474,241
PR_20081006_233801_512_LC16,642,814,241
PR_20081006_233801_512_LC16,652,1325,241
PR_20081006_233801_512_LC16,663,446,241
PR_20081006_233801_512_LC16,679,539,241
PR_20081006_233801_512_LC16,709,1235,241
PR_20081006_233801_512_LC16,715,872,241
PR_20081006_233801_512_LC16,751,411,241
PR_20081006_233801_512_LC16,765,1173,241
PR_20081006_233801_512_LC16,781,490,241
PR_20081006_233801_512_LC16,828,482,241
PR_20081006_233801_512_LC16,828,1077,241
PR_20081006_233801_512_LC16,869,1208,241
PR_20081006_233801_512_LC16,900,1160,241
PR_20081006_233801_512_LC16,915,589,241
PR_20081006_233801_512_LC16,938,1299,241
PR_20081006_233801_512_LC16,972,733,241
PR_20081006_233801_512_LC16,991,353,241
PR_20081006_233801_512_LC16,1010,1053,241
PR_20081006_233801_512_LC16,1022,908,241
PR_20081006_235941_691_LC16,11,794,2
PR_20081006_235941_691_LC16,12,390,45
PR_20081006_235941_691_LC16,48,739,2
PR_20081006_235941_691_LC16,117,74,45
PR_20081006_235941_691_LC16,132,1115,45
PR_20081006_235941_691_LC16,142,1064,45
PR_20081006_235941_691_LC16,148,958,2
PR_20081006_235941_691_LC16,151,989,45
PR_20081006_235941_691_LC16,157,689,47
PR_20081006_235941_691_LC16,187,1348,45
PR_20081006_235941_691_LC16,204,863,45
PR_20081006_235941_691_LC16,333,102,45
PR_20081006_235941_691_LC16,340,301,45
PR_20081006_235941_691_LC16,369,1154,45
PR_20081006_235941_691_LC16,385,374,47
PR_20081006_235941_691_LC16,390,231,45
PR_20081006_235941_691_LC16,419,1235,45
PR_20081006_235941_691_LC16,489,605,45
PR_20081006_235941_691_LC16,501,922,45
PR_20081006_235941_691_LC16,508,605,2
PR_20081006_235941_691_LC16,527,1349,2
PR_20081006_235941_691_LC16,533,28,45
PR_20081006_235941_691_LC16,553,1055,45
PR_20081006_235941_691_LC16,557,757,45
PR_20081006_235941_691_LC16,564,194,2
PR_20081006_235941_691_LC16,610,740,2
PR_20081006_235941_691_LC16,631,394,45
PR_20081006_235941_691_LC16,643,716,45
PR_20081006_235941_691_LC16,651,892,2
PR_20081006_235941_691_LC16,657,422,45
PR_20081006_235941_691_LC16,680,18,45
PR_20081006_235941_691_LC16,689,232,45
PR_20081006_235941_691_LC16,732,1150,47
PR_20081006_235941_691_LC16,737,406,45
PR_20081006_235941_691_LC16,739,1155,47
PR_20081006_235941_691_LC16,773,872,2
PR_20081006_235941_691_LC16,787,384,45
PR_20081006_235941_691_LC16,831,904,45
PR_20081006_235941_691_LC16,849,647,45
PR_20081006_235941_691_LC16,852,167,45
PR_20081006_235941_691_LC16,865,441,45
PR_20081006_235941_691_LC16,885,77,45
PR_20081006_235941_691_LC16,895,956,45
PR_20081006_235941_691_LC16,907,1168,47
PR_20081006_235941_691_LC16,926,745,45
PR_20081006_235941_691_LC16,953,902,45
PR_20081006_235941_691_LC16,968,96,2
PR_20081006_235941_691_LC16,996,150,2
PR_20081006_235941_691_LC16,1014,634,2
PR_20081006_235941_691_LC16,1021,1108,2
PR_20081007_000121_708_LC16,39,354,45
PR_20081007_000121_708_LC16,51,1244,47
PR_20081007_000121_708_LC16,80,1205,47
PR_20081007_000121_708_LC16,80,1288,2
PR_20081007_000121_708_LC16,90,87,45
PR_20081007_000121_708_LC16,94,1274,47
PR_20081007_000121_708_LC16,184,47,45
PR_20081007_000121_708_LC16,187,878,2
PR_20081007_000121_708_LC16,188,756,45
PR_20081007_000121_708_LC16,202,240,45
PR_20081007_000121_708_LC16,211,204,45
PR_20081007_000121_708_LC16,218,831,2
PR_20081007_000121_708_LC16,234,694,45
PR_20081007_000121_708_LC16,243,152,45
PR_20081007_000121_708_LC16,261,147,45
PR_20081007_000121_708_LC16,275,201,45
PR_20081007_000121_708_LC16,290,946,2
PR_20081007_000121_708_LC16,295,79,45
PR_20081007_000121_708_LC16,297,791,2
PR_20081007_000121_708_LC16,307,1149,47
PR_20081007_000121_708_LC16,367,494,67
PR_20081007_000121_708_LC16,374,901,67
PR_20081007_000121_708_LC16,460,533,45
PR_20081007_000121_708_LC16,466,1150,2
PR_20081007_000121_708_LC16,479,307,45
PR_20081007_000121_708_LC16,486,266,45
PR_20081007_000121_708_LC16,510,1182,67
PR_20081007_000121_708_LC16,512,865,47
PR_20081007_000121_708_LC16,517,981,47
PR_20081007_000121_708_LC16,523,391,45
PR_20081007_000121_708_LC16,528,1103,47
PR_20081007_000121_708_LC16,529,443,45
PR_20081007_000121_708_LC16,569,958,67
PR_20081007_000121_708_LC16,593,361,45
PR_20081007_000121_708_LC16,594,1249,2
PR_20081007_000121_708_LC16,642,456,39
PR_20081007_000121_708_LC16,659,267,45
PR_20081007_000121_708_LC16,669,1065,47
PR_20081007_000121_708_LC16,675,610,45
PR_20081007_000121_708_LC16,682,711,2
PR_20081007_000121_708_LC16,735,1302,2
PR_20081007_000121_708_LC16,743,603,45
PR_20081007_000121_708_LC16,755,29,45
PR_20081007_000121_708_LC16,804,561,45
PR_20081007_000121_708_LC16,887,195,2
PR_20081007_000121_708_LC16,923,1260,45
PR_20081007_000121_708_LC16,940,806,45
PR_20081007_000121_708_LC16,965,674,45
PR_20081007_000121_708_LC16,973,210,45
PR_20081007_000121_708_LC16,996,604,2
PR_20081007_001441_813_LC16,11,1256,2
PR_20081007_001441_813_LC16,14,53,2
PR_20081007_001441_813_LC16,39,287,2
PR_20081007_001441_813_LC16,59,1060,2
PR_20081007_001441_813_LC16,135,609,2
PR_20081007_001441_813_LC16,139,75,2
PR_20081007_001441_813_LC16,142,114,67
PR_20081007_001441_813_LC16,194,778,2
PR_20081007_001441_813_LC16,196,1356,29
PR_20081007_001441_813_LC16,209,1153,2
PR_20081007_001441_813_LC16,211,614,2
PR_20081007_001441_813_LC16,212,218,2
PR_20081007_001441_813_LC16,215,502,16
PR_20081007_001441_813_LC16,224,1071,2
PR_20081007_001441_813_LC16,290,379,2
PR_20081007_001441_813_LC16,322,1043,2
PR_20081007_001441_813_LC16,332,523,2
PR_20081007_001441_813_LC16,352,475,29
PR_20081007_001441_813_LC16,369,322,2
PR_20081007_001441_813_LC16,381,215,2
PR_20081007_001441_813_LC16,385,733,2
PR_20081007_001441_813_LC16,392,100,2
PR_20081007_001441_813_LC16,425,637,2
PR_20081007_001441_813_LC16,465,828,2
PR_20081007_001441_813_LC16,486,1020,2
PR_20081007_001441_813_LC16,497,653,16
PR_20081007_001441_813_LC16,544,120,2
PR_20081007_001441_813_LC16,555,1073,241
PR_20081007_001441_813_LC16,558,127,2
PR_20081007_001441_813_LC16,573,415,2
PR_20081007_001441_813_LC16,576,874,161
PR_20081007_001441_813_LC16,590,506,241
PR_20081007_001441_813_LC16,592,850,2
PR_20081007_001441_813_LC16,648,939,241
PR_20081007_001441_813_LC16,665,654,2
PR_20081007_001441_813_LC16,682,1120,241
PR_20081007_001441_813_LC16,705,317,241
PR_20081007_001441_813_LC16,775,861,241
PR_20081007_001441_813_LC16,775,1346,2
PR_20081007_001441_813_LC16,776,667,2
PR_20081007_001441_813_LC16,777,957,241
PR_20081007_001441_813_LC16,795,1199,241
PR_20081007_001441_813_LC16,802,1317,2
PR_20081007_001441_813_LC16,833,179,2
PR_20081007_001441_813_LC16,834,864,241
PR_20081007_001441_813_LC16,840,1242,241
PR_20081007_001441_813_LC16,894,527,22
PR_20081007_001441_813_LC16,902,262,2
PR_20081007_001441_813_LC16,973,1041,241
PR_20081007_001441_813_LC16,974,1191,241
PR_20081007_002301_887_LC16,14,701,241
PR_20081007_002301_887_LC16,123,77,241
PR_20081007_002301_887_LC16,144,743,241
PR_20081007_002301_887_LC16,165,598,241
PR_20081007_002301_887_LC16,173,61,241
PR_20081007_002301_887_LC16,173,659,241
